chunk_size_chars,overlap_chars,corpus_chunk_count,retriever,condition,sample_count,joint_evidence_preservation_rate,mean_joint_evidence_copy_count,target_mrr_all_pairs,target_mrr_preserved_only,median_target_rank_preserved_only,target_hit_at_1_all_pairs,target_hit_at_1_preserved_only,target_hit_at_5_all_pairs,target_hit_at_5_preserved_only,target_hit_at_10_all_pairs,target_hit_at_10_preserved_only,target_hit_at_20_all_pairs,target_hit_at_20_preserved_only
256,0,165,bm25,normal,20,0.5,0.5,0.041321,0.082642,13.0,0,0,0,0,0.1,0.2,0.45,0.9
256,0,165,bm25,trigger_only,20,0.5,0.5,0.126667,0.253333,5.0,0,0,0.5,1,0.5,1,0.5,1
256,0,165,bm25,verification,20,0.5,0.5,0.5,1.0,1.0,0.5,1,0.5,1,0.5,1,0.5,1
256,0,165,dense,normal,20,0.5,0.5,0.023979,0.047958,27.5,0,0,0,0,0.05,0.1,0.15,0.3
256,0,165,dense,trigger_only,20,0.5,0.5,0.165606,0.331212,3.0,0,0,0.45,0.9,0.45,0.9,0.45,0.9
256,0,165,dense,verification,20,0.5,0.5,0.35625,0.7125,1.0,0.3,0.6,0.45,0.9,0.45,0.9,0.45,0.9
256,0,165,rrf_hybrid,normal,20,0.5,0.5,0.03471,0.069419,15.5,0,0,0,0,0.1,0.2,0.35,0.7
256,0,165,rrf_hybrid,trigger_only,20,0.5,0.5,0.145417,0.290833,4.0,0,0,0.4,0.8,0.5,1,0.5,1
256,0,165,rrf_hybrid,verification,20,0.5,0.5,0.455556,0.911111,1.0,0.45,0.9,0.45,0.9,0.5,1,0.5,1
256,0,165,qwen3_reranker,normal,20,0.5,0.5,0.027859,0.055718,14,0,0,0,0,0.1,0.2,0.35,0.7
256,0,165,qwen3_reranker,trigger_only,20,0.5,0.5,0.191667,0.383333,3.0,0,0,0.5,1,0.5,1,0.5,1
256,0,165,qwen3_reranker,verification,20,0.5,0.5,0.5,1.0,1.0,0.5,1,0.5,1,0.5,1,0.5,1
256,64,205,bm25,normal,20,0.65,0.65,0.053591,0.082448,14,0,0,0,0,0.2,0.307692,0.5,0.769231
256,64,205,bm25,trigger_only,20,0.65,0.65,0.166786,0.256593,5,0,0,0.45,0.692308,0.65,1,0.65,1
256,64,205,bm25,verification,20,0.65,0.65,0.65,1.0,1,0.65,1,0.65,1,0.65,1,0.65,1
256,64,205,dense,normal,20,0.65,0.65,0.04853,0.074662,21,0,0,0.1,0.153846,0.15,0.230769,0.3,0.461538
256,64,205,dense,trigger_only,20,0.65,0.65,0.23381,0.359707,3,0,0,0.6,0.923077,0.65,1,0.65,1
256,64,205,dense,verification,20,0.65,0.65,0.608333,0.935897,1,0.6,0.923077,0.6,0.923077,0.65,1,0.65,1
256,64,205,rrf_hybrid,normal,20,0.65,0.65,0.058534,0.090053,16,0,0,0.1,0.153846,0.25,0.384615,0.45,0.692308
256,64,205,rrf_hybrid,trigger_only,20,0.65,0.65,0.230833,0.355128,3,0,0,0.6,0.923077,0.65,1,0.65,1
256,64,205,rrf_hybrid,verification,20,0.65,0.65,0.65,1.0,1,0.65,1,0.65,1,0.65,1,0.65,1
