position,retriever,condition,sample_count,mean_rank,median_rank,mrr,mean_target_gap_to_next,hit_at_1,hit_at_5,hit_at_10,hit_at_20
start,bm25,normal,20,20.05,20.0,0.055892,0.06173,0,0,0.05,0.5
start,bm25,trigger_only,20,3.1,3.0,0.3375,8.249062,0,1,1,1
start,bm25,verification,20,1,1.0,1.0,21.616039,1,1,1,1
start,dense,normal,20,13.4,11.0,0.097805,0.005256,0,0.1,0.5,0.8
start,dense,trigger_only,20,2,2.0,0.570833,0.085616,0.2,1,1,1
start,dense,verification,20,1,1.0,1.0,0.150685,1,1,1,1
start,rrf_hybrid,normal,20,17,17.0,0.08386,0.000281,0,0.1,0.3,0.6
start,rrf_hybrid,trigger_only,20,2.3,2.0,0.4875,0.001208,0.1,1,1,1
start,rrf_hybrid,verification,20,1,1.0,1.0,0.00111,1,1,1,1
start,qwen3_reranker,normal,20,15.8,17.0,0.082417,0.03125,0,0.05,0.3,0.65
start,qwen3_reranker,trigger_only,20,3,3.0,0.351667,2.982813,0,1,1,1
start,qwen3_reranker,verification,20,1,1.0,1.0,4.4125,1,1,1,1
middle,bm25,normal,20,20.05,20.0,0.055892,0.06173,0,0,0.05,0.5
middle,bm25,trigger_only,20,3.1,3.0,0.3375,8.249062,0,1,1,1
middle,bm25,verification,20,1,1.0,1.0,21.616039,1,1,1,1
middle,dense,normal,20,12.65,11.0,0.102102,0.002632,0,0.1,0.45,0.85
middle,dense,trigger_only,20,2.25,2.0,0.495833,0.071388,0.1,1,1,1
middle,dense,verification,20,1,1.0,1.0,0.116432,1,1,1,1
middle,rrf_hybrid,normal,20,16.35,17.0,0.086603,0.000325,0,0.1,0.35,0.65
middle,rrf_hybrid,trigger_only,20,2.35,2.0,0.479167,0.001077,0.1,1,1,1
middle,rrf_hybrid,verification,20,1,1.0,1.0,0.000856,1,1,1,1
middle,qwen3_reranker,normal,20,13.45,14.0,0.102759,0.0375,0,0.2,0.4,0.85
middle,qwen3_reranker,trigger_only,20,2.75,3.0,0.3875,4.209375,0,1,1,1
middle,qwen3_reranker,verification,20,1,1.0,1.0,4.984375,1,1,1,1
end,bm25,normal,20,20.05,20.0,0.055892,0.06173,0,0,0.05,0.5
end,bm25,trigger_only,20,3.1,3.0,0.3375,8.249062,0,1,1,1
end,bm25,verification,20,1,1.0,1.0,21.616039,1,1,1,1
end,dense,normal,20,12.85,13.0,0.094495,0.004902,0,0.05,0.45,0.9
end,dense,trigger_only,20,2.25,2.0,0.495833,0.071682,0.1,1,1,1
end,dense,verification,20,1,1.0,1.0,0.107709,1,1,1,1
end,rrf_hybrid,normal,20,16.25,16.5,0.089345,0.000271,0,0.1,0.35,0.65
end,rrf_hybrid,trigger_only,20,2.4,2.0,0.475,0.001163,0.1,1,1,1
end,rrf_hybrid,verification,20,1,1.0,1.0,0.001281,1,1,1,1
end,qwen3_reranker,normal,20,12.5,11.5,0.106908,0.075,0,0.2,0.35,0.9
end,qwen3_reranker,trigger_only,20,2.75,3.0,0.3875,4.265625,0,1,1,1
end,qwen3_reranker,verification,20,1,1.0,1.0,5.35,1,1,1,1
